Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,
5572,10.1,29.25%,0.0049,0.035014175
5572 Sum,,,,0.035014175
5573,15.09,9.37%,0.006,0.082056402
5573 Sum,,,,0.082056402
5574,5.36,26.77%,0.0089,0.0349336392
5574 Sum,,,,0.0349336392
5575,18.81,12.37%,0.0033,0.0543945699
5575 Sum,,,,0.0543945699
5576,13.05,7.96%,0.0084,0.100894248
5576 Sum,,,,0.100894248
5577,16.34,14.02%,0.0086,0.1208225352
5577 Sum,,,,0.1208225352
5578,22.46,20.38%,0.0007,0.0125178564
5578 Sum,,,,0.0125178564
5579,20.63,11.46%,0.0014,0.0255721228
5579 Sum,,,,0.0255721228
5580,23.97,15.28%,0.0019,0.0385840296
5580 Sum,,,,0.0385840296
5581,6.19,19.84%,0.0043,0.0213361872
5581 Sum,,,,0.0213361872
5582,10.14,36.63%,0.0088,0.0565463184
5582 Sum,,,,0.0565463184
5583,22.33,6.09%,0.0098,0.2055070094
5583 Sum,,,,0.2055070094
5584,10.59,2.31%,0.0013,0.0134489823
5584 Sum,,,,0.0134489823
5585,24.81,0.48%,0.0078,0.1925891136
5585 Sum,,,,0.1925891136
5586,15.94,7.66%,0.0028,0.0412131888
5586 Sum,,,,0.0412131888
5587,17.73,11.76%,0.0023,0.0359833896
5587 Sum,,,,0.0359833896
5588,19.79,11.46%,0.0079,0.1384243214
5588 Sum,,,,0.1384243214
5589,23.53,11.34%,0.0079,0.1648074142
5589 Sum,,,,0.1648074142
5590,21.47,28.10%,0.0069,0.106514817
5590 Sum,,,,0.106514817
5591,22.15,3.39%,0.0017,0.0363784955
5591 Sum,,,,0.0363784955
5592,8.26,19.19%,0.0064,0.0427193984
5592 Sum,,,,0.0427193984
5593,24.94,19.38%,0.0016,0.0321706048
5593 Sum,,,,0.0321706048
5594,15.95,21.45%,0.0062,0.077678095
5594 Sum,,,,0.077678095
5595,10.6,29.58%,0.0029,0.021647108
5595 Sum,,,,0.021647108
5596,20.35,4.15%,0.0011,0.0214560225
5596 Sum,,,,0.0214560225
5597,15.29,39.51%,0.0075,0.0693669075
5597 Sum,,,,0.0693669075
5598,6.13,34.88%,0.0013,0.0051894128
5598 Sum,,,,0.0051894128
5599,17.71,28.71%,0.0029,0.0366138311
5599 Sum,,,,0.0366138311
5600,18.41,15.62%,0.008,0.124274864
5600 Sum,,,,0.124274864
5601,20.3,24.12%,0.0073,0.112446572
5601 Sum,,,,0.112446572
5602,17.48,18.83%,0.0051,0.0723614316
5602 Sum,,,,0.0723614316
5603,1.24,7.38%,0.0062,0.0071206256
5603 Sum,,,,0.0071206256
5604,7.58,31.71%,0.0093,0.0481403526
5604 Sum,,,,0.0481403526
5605,10.72,27.30%,0.0007,0.005455408
5605 Sum,,,,0.005455408
5606,12.7,19.12%,0.0091,0.093473016
5606 Sum,,,,0.093473016
5607,2.7,39.07%,0.0084,0.013818924
5607 Sum,,,,0.013818924
5608,15.62,39.44%,0.0007,0.0066216304
5608 Sum,,,,0.0066216304
5609,1.77,25.51%,0.0021,0.0027687933
5609 Sum,,,,0.0027687933
5610,17.73,17.46%,0.0062,0.0907329204
5610 Sum,,,,0.0907329204
5611,22.21,32.37%,0.0099,0.1487041677
5611 Sum,,,,0.1487041677
5612,0.33,2.89%,0.0023,0.0007370649
5612 Sum,,,,0.0007370649
5613,22.2,18.37%,0.0017,0.030807162
5613 Sum,,,,0.030807162
5614,3.59,3.32%,0.0029,0.0100653548
5614 Sum,,,,0.0100653548
5615,8.48,28.39%,0.0052,0.0315771456
5615 Sum,,,,0.0315771456
5616,5.38,16.81%,0.0064,0.0286439808
5616 Sum,,,,0.0286439808
5617,14.78,13.76%,0.001,0.012746272
5617 Sum,,,,0.012746272
5618,7.77,12.96%,0.0086,0.0581618688
5618 Sum,,,,0.0581618688
5619,6.94,4.06%,0.0025,0.01664559
5619 Sum,,,,0.01664559
5620,5.4,29.52%,0.0047,0.017887824
5620 Sum,,,,0.017887824
5621,8.67,29.94%,0.0098,0.0595271796
5621 Sum,,,,0.0595271796
5622,20.05,37.94%,0.0009,0.011198727
5622 Sum,,,,0.011198727
5623,10.86,30.86%,0.0049,0.0367921596
5623 Sum,,,,0.0367921596
5624,1.04,31.93%,0.0088,0.0062297664
5624 Sum,,,,0.0062297664
5625,8.33,12.70%,0.0052,0.037814868
5625 Sum,,,,0.037814868
5626,22.82,3.83%,0.0052,0.1141191688
5626 Sum,,,,0.1141191688
5627,0.62,28.81%,0.0013,0.0005737914
5627 Sum,,,,0.0005737914
5628,8.19,7.15%,0.0076,0.057793554
5628 Sum,,,,0.057793554
5629,19.67,8.93%,0.0018,0.0322442442
5629 Sum,,,,0.0322442442
5630,21.87,16.51%,0.0086,0.1570296618
5630 Sum,,,,0.1570296618
5631,9.28,29.55%,0.0006,0.003922656
5631 Sum,,,,0.003922656
5632,21.95,8.66%,0.0016,0.032078608
5632 Sum,,,,0.032078608
5633,0.64,12.05%,0.0016,0.000900608
5633 Sum,,,,0.000900608
5634,24.47,27.99%,0.0092,0.1621117924
5634 Sum,,,,0.1621117924
5635,15.91,22.01%,0.0061,0.0756900749
5635 Sum,,,,0.0756900749
5636,9.21,18.26%,0.0017,0.0127980318
5636 Sum,,,,0.0127980318
5637,22.46,0.26%,0.0039,0.0873662556
5637 Sum,,,,0.0873662556
5638,6.34,33.78%,0.0033,0.0138545484
5638 Sum,,,,0.0138545484
5639,6.35,14.98%,0.0091,0.049128807
5639 Sum,,,,0.049128807
5640,18.59,6.37%,0.0084,0.1462088628
5640 Sum,,,,0.1462088628
5641,13.42,30.99%,0.0072,0.0666802224
5641 Sum,,,,0.0666802224
5642,6.72,26.79%,0.0093,0.0457533216
5642 Sum,,,,0.0457533216
5643,10.34,30.87%,0.0037,0.0264477554
5643 Sum,,,,0.0264477554
5644,15.52,10.92%,0.0069,0.0953939904
5644 Sum,,,,0.0953939904
5645,6.45,19.47%,0.0059,0.0306456915
5645 Sum,,,,0.0306456915
5646,16.9,6.05%,0.0082,0.13019591
5646 Sum,,,,0.13019591
5647,19.69,17.79%,0.0022,0.0356117278
5647 Sum,,,,0.0356117278
5648,14,22.41%,0.0059,0.06408934
5648 Sum,,,,0.06408934
5649,16.83,10.28%,0.0064,0.0966392064
5649 Sum,,,,0.0966392064
5650,22.98,23.20%,0.0005,0.00882432
5650 Sum,,,,0.00882432
5651,7.78,23.29%,0.0055,0.032824209
5651 Sum,,,,0.032824209
5652,15.28,25.76%,0.0078,0.0884822016
5652 Sum,,,,0.0884822016
5653,18.14,11.78%,0.0096,0.1536298368
5653 Sum,,,,0.1536298368
5654,4.34,19.96%,0.0084,0.0291793824
5654 Sum,,,,0.0291793824
5655,0.23,39.46%,0.0071,0.0009886182
5655 Sum,,,,0.0009886182
5656,24.87,8.66%,0.0074,0.1681003092
5656 Sum,,,,0.1681003092
5657,20.66,5.10%,0.0061,0.119598674
5657 Sum,,,,0.119598674
5658,2.2,27.63%,0,0
5658 Sum,,,,0
5659,7.87,24.97%,0.0021,0.0124002081
5659 Sum,,,,0.0124002081
5660,24.31,26.14%,0.0086,0.1544161476
5660 Sum,,,,0.1544161476
5661,14.26,39.76%,0.0006,0.0051541344
5661 Sum,,,,0.0051541344
5662,13.87,23.51%,0.0072,0.0763859736
5662 Sum,,,,0.0763859736
5663,10.92,11.27%,0.0034,0.0329436744
5663 Sum,,,,0.0329436744
5664,24.79,10.71%,0.0068,0.1505179388
5664 Sum,,,,0.1505179388
5665,18.19,27.24%,0.0012,0.0158820528
5665 Sum,,,,0.0158820528
5666,5.16,8.24%,0.0089,0.0421398624
5666 Sum,,,,0.0421398624
5667,18.4,1.19%,0.0011,0.019999144
5667 Sum,,,,0.019999144
5668,11.53,15.46%,0.0026,0.0253434012
5668 Sum,,,,0.0253434012
5669,4.3,15.06%,0.0075,0.02739315
5669 Sum,,,,0.02739315
5670,9.22,37.03%,0.0036,0.0209010024
5670 Sum,,,,0.0209010024
5671,15.41,9.95%,0.0065,0.0901985825
5671 Sum,,,,0.0901985825
5672,20.96,25.90%,0,0
5672 Sum,,,,0
5673,2.68,2.31%,0.0048,0.0125668416
5673 Sum,,,,0.0125668416
5674,24.64,15.30%,0,0
5674 Sum,,,,0
5675,20.56,20.25%,0.004,0.0655864
5675 Sum,,,,0.0655864
5676,8.45,5.94%,0.0006,0.004768842
5676 Sum,,,,0.004768842
5677,11.03,11.26%,0.0004,0.0039152088
5677 Sum,,,,0.0039152088
5678,17.7,1.19%,0.003,0.05246811
5678 Sum,,,,0.05246811
5679,20.47,0.39%,0.0016,0.0326242672
5679 Sum,,,,0.0326242672
5680,20.37,12.75%,0.01,0.17772825
5680 Sum,,,,0.17772825
5681,20.82,27.15%,0.0042,0.063702954
5681 Sum,,,,0.063702954
5682,23.36,1.98%,0.0084,0.1923387648
5682 Sum,,,,0.1923387648
5683,9.79,5.49%,0.0069,0.0638424501
5683 Sum,,,,0.0638424501
5684,0.31,21.64%,0.0009,0.0002186244
5684 Sum,,,,0.0002186244
5685,18.43,39.06%,0.0062,0.0696337004
5685 Sum,,,,0.0696337004
5686,10.97,7.34%,0.0014,0.0142307228
5686 Sum,,,,0.0142307228
5687,13.92,8.88%,0.0044,0.0558091776
5687 Sum,,,,0.0558091776
5688,2.04,0.09%,0.0039,0.0079488396
5688 Sum,,,,0.0079488396
5689,23.82,35.48%,0.0003,0.0046105992
5689 Sum,,,,0.0046105992
5690,14.41,9.64%,0.0092,0.1197920592
5690 Sum,,,,0.1197920592
5691,10.99,9.24%,0.0076,0.0758063824
5691 Sum,,,,0.0758063824
5692,0.77,20.12%,0.0002,0.0001230152
5692 Sum,,,,0.0001230152
5693,17.83,5.92%,0.0082,0.1375506048
5693 Sum,,,,0.1375506048
5694,10.22,27.71%,0.0096,0.0709251648
5694 Sum,,,,0.0709251648
5695,10.89,23.04%,0.0097,0.0812951568
5695 Sum,,,,0.0812951568
5696,6.32,30.13%,0.0032,0.0141305088
5696 Sum,,,,0.0141305088
5697,14.43,7.90%,0.0096,0.127584288
5697 Sum,,,,0.127584288
5698,7.71,7.85%,0.0013,0.0092361945
5698 Sum,,,,0.0092361945
5699,15.5,7.27%,0.0065,0.093425475
5699 Sum,,,,0.093425475
5700,4.45,10.46%,0.0071,0.028290163
5700 Sum,,,,0.028290163
5701,23.23,30.60%,0.0034,0.054813508
5701 Sum,,,,0.054813508
5702,6.07,6.58%,0.0014,0.0079388316
5702 Sum,,,,0.0079388316
5703,13.15,13.73%,0.0079,0.0896215895
5703 Sum,,,,0.0896215895
5704,20.13,31.16%,0.0014,0.0194004888
5704 Sum,,,,0.0194004888
5705,2.41,5.90%,0.0058,0.013153298
5705 Sum,,,,0.013153298
5706,12.88,27.88%,0.0093,0.0863882208
5706 Sum,,,,0.0863882208
5707,24.86,2.44%,0.002,0.048506832
5707 Sum,,,,0.048506832
5708,12.38,1.79%,0.0098,0.1191523004
5708 Sum,,,,0.1191523004
5709,18.56,28.55%,0.009,0.11935008
5709 Sum,,,,0.11935008
5710,4.91,17.98%,0.0047,0.0189277554
5710 Sum,,,,0.0189277554
5711,24.84,9.33%,0.0069,0.1554047532
5711 Sum,,,,0.1554047532
5712,15.73,17.24%,0.006,0.078108888
5712 Sum,,,,0.078108888
5713,2.15,3.95%,0.0084,0.01734663
5713 Sum,,,,0.01734663
5714,8.02,14.36%,0.0062,0.0425836336
5714 Sum,,,,0.0425836336
5715,2.93,39.81%,0.0027,0.0047616309
5715 Sum,,,,0.0047616309
5716,23.26,6.87%,0.0074,0.1602990812
5716 Sum,,,,0.1602990812
5717,1.69,7.08%,0.0059,0.0092650532
5717 Sum,,,,0.0092650532
5718,9.77,37.47%,0.0054,0.0329895774
5718 Sum,,,,0.0329895774
5719,10.63,4.86%,0.0003,0.0030340146
5719 Sum,,,,0.0030340146
5720,18.9,14.48%,0.0098,0.158400144
5720 Sum,,,,0.158400144
5721,19.01,4.18%,0.0085,0.154830747
5721 Sum,,,,0.154830747
5722,9.6,28.71%,0.0035,0.02395344
5722 Sum,,,,0.02395344
5723,9.92,17.40%,0.0019,0.015568448
5723 Sum,,,,0.015568448
5724,9.96,16.01%,0.0078,0.0652501512
5724 Sum,,,,0.0652501512
5725,11.78,16.24%,0.0044,0.0434144832
5725 Sum,,,,0.0434144832
5726,10.49,14.81%,0.0024,0.0214474344
5726 Sum,,,,0.0214474344
5727,8.13,30.66%,0.0008,0.0045098736
5727 Sum,,,,0.0045098736
5728,1.59,6.61%,0.0036,0.0053456436
5728 Sum,,,,0.0053456436
5729,17.93,33.23%,0.009,0.107746749
5729 Sum,,,,0.107746749
5730,14.71,21.23%,0.0018,0.0208567206
5730 Sum,,,,0.0208567206
5731,20.43,21.30%,0.0034,0.054666594
5731 Sum,,,,0.054666594
5732,11.43,27.43%,0.0035,0.0290316285
5732 Sum,,,,0.0290316285
5733,22.59,15.96%,0.008,0.151877088
5733 Sum,,,,0.151877088
5734,21.19,4.78%,0.0042,0.0847438956
5734 Sum,,,,0.0847438956
5735,10.84,33.95%,0.0046,0.032935172
5735 Sum,,,,0.032935172
5736,20.76,18.37%,0.0085,0.144044298
5736 Sum,,,,0.144044298
5737,15.53,16.83%,0.0059,0.0762061759
5737 Sum,,,,0.0762061759
5738,11.58,2.68%,0.0043,0.0484595208
5738 Sum,,,,0.0484595208
5739,7.45,38.99%,0.0054,0.024544323
5739 Sum,,,,0.024544323
5740,5.8,33.37%,0.0084,0.032462136
5740 Sum,,,,0.032462136
5741,10.09,17.78%,0.0091,0.0754935818
5741 Sum,,,,0.0754935818
5742,8.76,2.19%,0.0022,0.0188499432
5742 Sum,,,,0.0188499432
5743,12.7,34.92%,0.0011,0.009091676
5743 Sum,,,,0.009091676
5744,15.34,23.16%,0.0097,0.1143363832
5744 Sum,,,,0.1143363832
5745,7.39,33.89%,0.0087,0.0425041023
5745 Sum,,,,0.0425041023
5746,19.89,28.22%,0.0035,0.049969647
5746 Sum,,,,0.049969647
5747,9.99,12.44%,0.0081,0.0708526764
5747 Sum,,,,0.0708526764
5748,11.03,1.35%,0.002,0.02176219
5748 Sum,,,,0.02176219
5749,24.7,37.75%,0.0073,0.112242975
5749 Sum,,,,0.112242975
5750,6.16,34.38%,0.0078,0.0315290976
5750 Sum,,,,0.0315290976
5751,10.74,38.50%,0.0016,0.01056816
5751 Sum,,,,0.01056816
5752,11.16,30.30%,0.0015,0.01166778
5752 Sum,,,,0.01166778
5753,12.7,12.44%,0.0008,0.008896096
5753 Sum,,,,0.008896096
5754,3.68,31.38%,0.0028,0.0070706048
5754 Sum,,,,0.0070706048
5755,3.84,25.82%,0.0034,0.0096849408
5755 Sum,,,,0.0096849408
5756,11.43,38.62%,0.0068,0.0477069912
5756 Sum,,,,0.0477069912
5757,23.45,35.91%,0.0023,0.0345669415
5757 Sum,,,,0.0345669415
5758,5.77,14.98%,0.0093,0.0456225822
5758 Sum,,,,0.0456225822
5759,4.78,24.78%,0.0032,0.0115056512
5759 Sum,,,,0.0115056512
5760,10.87,10.82%,0.0004,0.0038775464
5760 Sum,,,,0.0038775464
5761,24.96,13.75%,0.0035,0.075348
5761 Sum,,,,0.075348
5762,18.19,15.59%,0.0078,0.1197625962
5762 Sum,,,,0.1197625962
5763,24.26,11.35%,0.0036,0.077423364
5763 Sum,,,,0.077423364
5764,11.92,22.20%,0.0028,0.025966528
5764 Sum,,,,0.025966528
5765,13.87,7.18%,0.0075,0.096556005
5765 Sum,,,,0.096556005
5766,3.56,2.63%,0.0014,0.0048529208
5766 Sum,,,,0.0048529208
5767,20.66,19.11%,0.0033,0.0551491842
5767 Sum,,,,0.0551491842
5768,16.43,6.84%,0.0053,0.0811227964
5768 Sum,,,,0.0811227964
5769,14.61,13.14%,0.0083,0.1053290418
5769 Sum,,,,0.1053290418
5770,10.07,15.69%,0.0096,0.0815041632
5770 Sum,,,,0.0815041632
5771,1.97,11.48%,0.0048,0.0083704512
5771 Sum,,,,0.0083704512
5772,11.86,21.12%,0.0001,0.0009355168
5772 Sum,,,,0.0009355168
5773,6.94,17.14%,0.0073,0.0419785332
5773 Sum,,,,0.0419785332
5774,15.07,11.60%,0.0072,0.095917536
5774 Sum,,,,0.095917536
5775,17.98,33.79%,0.0078,0.0928555524
5775 Sum,,,,0.0928555524
5776,6.74,28.21%,0.0084,0.0406446264
5776 Sum,,,,0.0406446264
5777,5.32,17.99%,0.0016,0.0069806912
5777 Sum,,,,0.0069806912
5778,6.95,12.59%,0.0064,0.038879968
5778 Sum,,,,0.038879968
5779,8.99,8.73%,0.0029,0.0237950017
5779 Sum,,,,0.0237950017
5780,24.7,37.66%,0.007,0.10778586
5780 Sum,,,,0.10778586
5781,17.84,8.20%,0.007,0.11463984
5781 Sum,,,,0.11463984
5782,16.97,12.48%,0.0035,0.051982504
5782 Sum,,,,0.051982504
5783,24.49,5.55%,0.0045,0.1040886225
5783 Sum,,,,0.1040886225
5784,15.26,20.86%,0.005,0.06038382
5784 Sum,,,,0.06038382
5785,0.8,6.74%,0.0092,0.006863936
5785 Sum,,,,0.006863936
5786,9.53,38.45%,0.0039,0.0228762885
5786 Sum,,,,0.0228762885
5787,19.11,2.43%,0.0098,0.1827271446
5787 Sum,,,,0.1827271446
5788,16.49,1.77%,0.0027,0.0437349429
5788 Sum,,,,0.0437349429
5789,19.08,4.87%,0.0063,0.1143500652
5789 Sum,,,,0.1143500652
5790,3.87,25.46%,0.0041,0.0118272618
5790 Sum,,,,0.0118272618
5791,7.87,13.96%,0.0009,0.0060942132
5791 Sum,,,,0.0060942132
5792,24.41,8.09%,0.0074,0.1660207094
5792 Sum,,,,0.1660207094
5793,17.55,37.97%,0.0035,0.0381019275
5793 Sum,,,,0.0381019275
5794,4.85,16.40%,0.0065,0.0263549
5794 Sum,,,,0.0263549
5795,0.38,21.34%,0.0082,0.0024510456
5795 Sum,,,,0.0024510456
5796,22.87,23.42%,0.0027,0.0472873842
5796 Sum,,,,0.0472873842
5797,23.59,35.55%,0.0069,0.1049059095
5797 Sum,,,,0.1049059095
5798,2.37,30.08%,0.008,0.013256832
5798 Sum,,,,0.013256832
5799,5.93,3.54%,0.0041,0.0234523198
5799 Sum,,,,0.0234523198
5800,21.28,5.63%,0.0059,0.1184834224
5800 Sum,,,,0.1184834224
5801,20.21,28.69%,0.0089,0.1282645839
5801 Sum,,,,0.1282645839
5802,23.02,37.79%,0.0083,0.1188621586
5802 Sum,,,,0.1188621586
5803,10.71,13.80%,0.0032,0.029542464
5803 Sum,,,,0.029542464
5804,13.79,16.13%,0.0003,0.0034697019
5804 Sum,,,,0.0034697019
5805,12.76,20.79%,0.0006,0.0060643176
5805 Sum,,,,0.0060643176
5806,14.41,23.92%,0.0035,0.038370948
5806 Sum,,,,0.038370948
5807,11.83,30.82%,0.0033,0.0270071802
5807 Sum,,,,0.0270071802
5808,12.34,22.81%,0.0035,0.033338361
5808 Sum,,,,0.033338361
5809,16.01,32.64%,0.0057,0.0614707152
5809 Sum,,,,0.0614707152
5810,22.11,31.93%,0.0007,0.0105351939
5810 Sum,,,,0.0105351939
5811,5.25,19.46%,0.0068,0.02875278
5811 Sum,,,,0.02875278
5812,20.92,0.72%,0.0065,0.135000944
5812 Sum,,,,0.135000944
5813,0.39,37.57%,0.0021,0.0005113017
5813 Sum,,,,0.0005113017
5814,9.99,11.48%,0.0082,0.0725138136
5814 Sum,,,,0.0725138136
5815,12.92,0.36%,0.0044,0.0566433472
5815 Sum,,,,0.0566433472
5816,14.78,3.97%,0.0065,0.092256021
5816 Sum,,,,0.092256021
5817,9.74,39.12%,0.0026,0.0154172512
5817 Sum,,,,0.0154172512
5818,4.37,1.94%,0.001,0.004285222
5818 Sum,,,,0.004285222
5819,5.52,5.87%,0.0031,0.0161075256
5819 Sum,,,,0.0161075256
5820,15.73,25.68%,0.0031,0.0362406616
5820 Sum,,,,0.0362406616
5821,23.49,5.56%,0.0039,0.0865174284
5821 Sum,,,,0.0865174284
5822,22.32,24.44%,0.0013,0.0219244896
5822 Sum,,,,0.0219244896
5823,11.03,6.69%,0.0032,0.0329346976
5823 Sum,,,,0.0329346976
5824,8.69,6.07%,0.0089,0.0726464013
5824 Sum,,,,0.0726464013
5825,12.21,38.69%,0.0058,0.0434185158
5825 Sum,,,,0.0434185158
5826,13.55,37.28%,0.0071,0.060339776
5826 Sum,,,,0.060339776
5827,19.86,4.04%,0.0043,0.0819479208
5827 Sum,,,,0.0819479208
5828,15.59,21.24%,0.0027,0.0331524468
5828 Sum,,,,0.0331524468
5829,21.07,32.62%,0.0045,0.063886347
5829 Sum,,,,0.063886347
5830,14.14,10.88%,0.0001,0.0012601568
5830 Sum,,,,0.0012601568
5831,11.1,11.07%,0.0078,0.076995594
5831 Sum,,,,0.076995594
5832,22.64,16.60%,0.0047,0.088744272
5832 Sum,,,,0.088744272
5833,4.16,35.58%,0.0087,0.0233148864
5833 Sum,,,,0.0233148864
5834,14.7,24.68%,0.0077,0.085254708
5834 Sum,,,,0.085254708
5835,6.61,14.03%,0.0018,0.0102287106
5835 Sum,,,,0.0102287106
5836,24.93,29.84%,0.0065,0.113690772
5836 Sum,,,,0.113690772
5837,17.38,26.92%,0.0037,0.0469948248
5837 Sum,,,,0.0469948248
5838,22.75,39.85%,0.0096,0.1313676
5838 Sum,,,,0.1313676
5839,8.86,3.56%,0.0044,0.0375961696
5839 Sum,,,,0.0375961696
5840,1.4,33.84%,0.0063,0.005835312
5840 Sum,,,,0.005835312
5841,17.06,18.80%,0.0051,0.070648872
5841 Sum,,,,0.070648872
5842,24.86,19.96%,0.0044,0.0875509536
5842 Sum,,,,0.0875509536
5843,9.51,0.82%,0.0066,0.0622513188
5843 Sum,,,,0.0622513188
5844,4.73,37.89%,0.0034,0.0099885302
5844 Sum,,,,0.0099885302
5845,18.1,10.31%,0.0028,0.045454892
5845 Sum,,,,0.045454892
5846,0.39,11.04%,0.009,0.003122496
5846 Sum,,,,0.003122496
5847,14.29,38.93%,0.0043,0.0375256829
5847 Sum,,,,0.0375256829
5848,22.9,30.34%,0.0076,0.121236264
5848 Sum,,,,0.121236264
5849,3.97,36.13%,0.0077,0.0195244203
5849 Sum,,,,0.0195244203
5850,5.84,11.07%,0.0015,0.007790268
5850 Sum,,,,0.007790268
5851,21.23,32.91%,0,0
5851 Sum,,,,0
5852,6.5,9.41%,0.0054,0.03179709
5852 Sum,,,,0.03179709
5853,18.07,18.67%,0.0097,0.1425544107
5853 Sum,,,,0.1425544107
5854,8.01,28.97%,0.0092,0.0523434276
5854 Sum,,,,0.0523434276
5855,20.64,20.99%,0.0074,0.1206767136
5855 Sum,,,,0.1206767136
5856,20.53,36.93%,0.008,0.103586168
5856 Sum,,,,0.103586168
5857,22.73,0.21%,0.0056,0.1270206952
5857 Sum,,,,0.1270206952
5858,4.32,23.94%,0.0095,0.031215024
5858 Sum,,,,0.031215024
5859,8.79,16.94%,0.0074,0.0540272076
5859 Sum,,,,0.0540272076
5860,11.72,2.73%,0.0044,0.0501601936
5860 Sum,,,,0.0501601936
5861,4.9,7.61%,0.0012,0.005432532
5861 Sum,,,,0.005432532
5862,7.67,22.18%,0.0024,0.0143251056
5862 Sum,,,,0.0143251056
5863,9.78,23.11%,0.0013,0.0097757946
5863 Sum,,,,0.0097757946
5864,9.56,4.17%,0.0013,0.0119097524
5864 Sum,,,,0.0119097524
5865,6.05,27.72%,0.0084,0.036732696
5865 Sum,,,,0.036732696
5866,17.44,19.79%,0.0075,0.10491468
5866 Sum,,,,0.10491468
5867,2.91,36.59%,0.0022,0.0040595082
5867 Sum,,,,0.0040595082
5868,4.82,0.25%,0.0066,0.03173247
5868 Sum,,,,0.03173247
5869,11.25,11.25%,0.0042,0.041934375
5869 Sum,,,,0.041934375
5870,6.15,20.98%,0.0093,0.045195489
5870 Sum,,,,0.045195489
5871,6.33,6.10%,0.0028,0.016642836
5871 Sum,,,,0.016642836
5872,4.53,36.55%,0,0
5872 Sum,,,,0
5873,15.12,22.73%,0.0018,0.0210298032
5873 Sum,,,,0.0210298032
5874,19.51,6.09%,0.0013,0.0238183933
5874 Sum,,,,0.0238183933
5875,18.78,17.68%,0.0068,0.1051259328
5875 Sum,,,,0.1051259328
5876,2.17,37.32%,0.0014,0.0019042184
5876 Sum,,,,0.0019042184
5877,3.39,39.48%,0.0073,0.0149768844
5877 Sum,,,,0.0149768844
5878,17.92,15.75%,0.0073,0.11021248
5878 Sum,,,,0.11021248
5879,12.63,7.26%,0.0037,0.0433383294
5879 Sum,,,,0.0433383294
5880,20.77,13.64%,0.0003,0.0053810916
5880 Sum,,,,0.0053810916
5881,15.1,38.79%,0.0095,0.087805745
5881 Sum,,,,0.087805745
5882,3.38,37.58%,0.0007,0.0014768572
5882 Sum,,,,0.0014768572
5883,0.09,13.70%,0.0015,0.000116505
5883 Sum,,,,0.000116505
5884,8.95,3.92%,0.0009,0.007739244
5884 Sum,,,,0.007739244
5885,8.71,24.59%,0.001,0.006568211
5885 Sum,,,,0.006568211
5886,11.31,8.52%,0.0077,0.0796671876
5886 Sum,,,,0.0796671876
5887,20.77,17.81%,0.0084,0.1433952492
5887 Sum,,,,0.1433952492
5888,11.51,39.90%,0.0055,0.038046305
5888 Sum,,,,0.038046305
5889,8.03,31.23%,0.0032,0.0176711392
5889 Sum,,,,0.0176711392
5890,11.35,8.64%,0.0086,0.089176496
5890 Sum,,,,0.089176496
5891,0.51,34.26%,0.0004,0.0001341096
5891 Sum,,,,0.0001341096
5892,23.62,38.47%,0.0024,0.0348801264
5892 Sum,,,,0.0348801264
5893,19.81,34.49%,0.0087,0.1129045197
5893 Sum,,,,0.1129045197
5894,9.26,39.10%,0.0007,0.003947538
5894 Sum,,,,0.003947538
5895,10.68,2.35%,0.0077,0.080303454
5895 Sum,,,,0.080303454
5896,6,16.11%,0.0041,0.02063694
5896 Sum,,,,0.02063694
5897,24.37,11.71%,0.0023,0.0494874279
5897 Sum,,,,0.0494874279
5898,17.77,33.67%,0.0053,0.0624702573
5898 Sum,,,,0.0624702573
5899,10.28,25.10%,0.0002,0.001539944
5899 Sum,,,,0.001539944
5900,20.75,21.99%,0.0081,0.1311153075
5900 Sum,,,,0.1311153075
5901,20.51,6.87%,0,0
5901 Sum,,,,0
5902,9.12,16.68%,0.0081,0.0615501504
5902 Sum,,,,0.0615501504
5903,5.54,35.23%,0.0017,0.0061000386
5903 Sum,,,,0.0061000386
5904,24.48,39.25%,0.0051,0.07584516
5904 Sum,,,,0.07584516
5905,6.66,5.93%,0.0009,0.0056385558
5905 Sum,,,,0.0056385558
5906,6.53,23.48%,0.0025,0.01249189
5906 Sum,,,,0.01249189
5907,14.35,1.23%,0.0038,0.053859281
5907 Sum,,,,0.053859281
5908,15.26,3.18%,0.0085,0.125585222
5908 Sum,,,,0.125585222
5909,18.68,1.72%,0.0029,0.0532402416
5909 Sum,,,,0.0532402416
5910,8.72,9.58%,0.0087,0.0685962288
5910 Sum,,,,0.0685962288
5911,15.32,26.63%,0.0033,0.0370929372
5911 Sum,,,,0.0370929372
5912,17.67,13.00%,0.0069,0.10607301
5912 Sum,,,,0.10607301
5913,12.54,23.69%,0.0018,0.0172246932
5913 Sum,,,,0.0172246932
5914,22.04,19.00%,0.0067,0.11961108
5914 Sum,,,,0.11961108
5915,3.57,26.85%,0.0085,0.0221973675
5915 Sum,,,,0.0221973675
5916,5.72,21.96%,0.0075,0.03347916
5916 Sum,,,,0.03347916
5917,11.67,36.95%,0.0045,0.0331107075
5917 Sum,,,,0.0331107075
5918,12.86,30.56%,0.0074,0.0660818816
5918 Sum,,,,0.0660818816
5919,16.96,31.17%,0.0021,0.0245144928
5919 Sum,,,,0.0245144928
5920,10.09,38.83%,0.005,0.030860265
5920 Sum,,,,0.030860265
